job_title,company_name,location,ctc,experience,posted
Business Development Associate,Kalvium,Bangalore,"₹ 4,00,000 - 5,00,000",0-5 years,1 week ago
Business Development Associate,Leverage Edu,Noida,"₹ 6,60,000 - 7,00,000",0-5 years,1 week ago
Data Analyst Consultant,Educate Girls,Work from home,"₹ 4,00,000 - 8,00,000",0-5 years,1 week ago
US IT Recruiter,Spectraforce Technologies,Mohali,"₹ 3,00,000 - 3,60,000",0-2 years,1 week ago
Human Resources (HR) Executive,Hear.com,Gurgaon,"₹ 2,00,000 - 3,00,000",0-2 years,1 week ago
Business Development Associate,Urban Company,Bangalore,"₹ 2,00,000 - 2,50,000",0-2 years,1 week ago
Business Development Manager,MyGate,"Gurgaon, Noida, Bangalore","₹ 4,00,000 - 6,00,000",0-5 years,1 week ago
Accounts Executive - Taxation,AQM Technologies,Mumbai,"₹ 2,00,000 - 3,00,000",0-2 years,1 week ago
Business Development Associate,BYJUs,"Bangalore, Chennai, Hyderabad","₹ 4,00,000 - 5,00,000",0-5 years,1 week ago
Feild Sales Officer,Paytm,"Madhya Pradesh, Punjab, Bihar, Hariyana, Mumbai, Ghaziabad","₹ 2,00,000 - 3,00,000",0-2 years,1 week ago
Sales Recruitment,GBH Auto Mechanics & Services LLP,Work from home,"₹ 2,00,000 - 5,00,000",0-5 years,1 week ago
Business Development Executive,Plada Infotech Services Limited,"Noida, Gurgaon, Delhi","₹ 2,00,000 - 4,00,000",0-2 years,1 week ago
Sales Manager,Bajaj Allianz Life Insurance Company Limited,Work from home,"₹ 2,00,000 - 3,00,000",0-2 years,1 week ago
Business Development Associate,BYJU'S The Learning App,"Delhi, Rajasthan, Gujrat, Punjab, Uttarkhanda","₹ 4,50,000 - 5,50,000",0-5 years,1 week ago
Business Operations Analyst,Media.net,Mumbai,"₹ 3,00,000",0-2 years,1 week ago
Corporate Sales Executive,PolicyBazaar.com,Gurgaon,"₹ 2,00,000 - 3,00,000",0-2 years,1 week ago
Field Sales Executive/Counselor/Relationship Executive,Lifecell International Private Limited,"Delhi, Gurgaon, Uttar Pradesh","₹ 2,50,000 - 3,00,000",0-2 years,1 week ago
Interior Designer,NoBroker Technologies Solutions Private Limited,"Mumbai, Hyderabad, Noida, Gurgaon","₹ 3,09,600 - 3,81,600",0-2 years,1 week ago
Sales Executive,NoBroker Technologies Solutions Private Limited,Bangalore,"₹ 4,10,000 - 4,20,000",0-2 years,1 week ago
Omni Sport Leader,Decathlon,"Chinchwad, Wakad, Nigdi, Pimpri-Chinchwad, Pune, Akurdi, Aundh","₹ 2,80,000 - 3,00,000",0-2 years,1 week ago
Interior Designer,NoBroker Technologies Solutions Private Limited,Gurgaon,"₹ 2,00,000 - 3,80,000",0-2 years,1 week ago
Telecaller,People Interactive Private Limited (Shaadi.com),Chennai,"₹ 2,00,000 - 2,75,000",0-2 years,1 week ago
Zonal Assistant Manager- Logistics,FirstCry.com,Work from home,"₹ 3,60,000 - 4,00,000",0-2 years,1 week ago
Executive - Catalogue Music,Saregama India Limited,Mumbai,"₹ 3,50,000 - 4,00,000",0-2 years,1 week ago
Inside Sales Specialist,Infinity Learn,Noida,"₹ 4,00,000 - 5,00,000",0-5 years,1 week ago
Jr. Graphic Designer,LimeRoad,Gurgaon,"₹ 3,00,000 - 4,00,000",0-2 years,1 week ago
Customer Success Associate,Media.net,"Bangalore, Mumbai","₹ 4,00,000 - 4,50,000",0-2 years,1 week ago
Associate Accountant,RAK Ceramics,Samalkota,"₹ 2,50,000 - 4,00,000",0-2 years,1 week ago
Junior Recruiter,IMS Group,Ahmedabad,"₹ 2,46,000 - 3,00,000",0-2 years,1 week ago
Tele Associate | Free Listed Seller Content Enrichment,IndiaMART InterMESH Limited,Work from home,"₹ 2,00,000 - 2,25,000",0-2 years,1 week ago
Junior Lawyer,DR LAW,Delhi,"₹ 2,00,000",0-2 years,1 week ago
Security Team Leader/Team Member,Taj Hotels,Chennai,"₹ 3,00,000 - 5,00,000",0-5 years,1 week ago
Business Development Associate - Sales,Planet Spark,Gurgaon,"₹ 3,50,000 - 6,50,000",0-5 years,1 week ago
